NAAM,ALCOHOL %,BROUWERIJ
Aardmonnik,8.000000,De Struise Brouwers
Aarschotse Bruine,6.000000,StadsBrouwerij Aarschot
Abbay d’AulneBlonde des Pères 6,6.000000,Brouwerij Val de Sambre
Abbay d’AulneBrune des Pères 6,6.000000,Brouwerij Val de Sambre
Abbay d’AulneSuper Noël 9,9.000000,Brouwerij Val de Sambre
Abbay d’AulneTriple Blonde,6.300000,Brouwerij Val de Sambre
Abbay d’AulneTriple Brune,8.000000,Brouwerij Val de Sambre
Abbay d’AulneVal de Sambre,6.400000,Brouwerij Val de Sambre
Abbaye deBonne-Espérance,7.800000,Brouwerij Lefebvre
Abbaye de Forest,6.500000,Brouwerij de Silly
Abbaye de laThure,10.000000,Brouwerij Brootcoorens
Abbaye deSaint-Martin Blonde,7.000000,Brouwerij de Brunehaut
Abbaye deSaint-Martin Brune,8.000000,Brouwerij de Brunehaut
Abbaye deSaint-Martin Cuvée de Noël,8.500000,Brouwerij de Brunehaut
Abbaye deSaint-Martin Triple,9.000000,Brouwerij de Brunehaut
Abbaye deOudkerken,6.200000,Brouwerij Lefebvre
Abbaye des RocsBlonde,7.500000,Brouwerij de l’Abbaye desRocs
Abbaye des RocsBrune,9.000000,Brouwerij de l’Abbaye desRocs
Abbaye des RocsGrand Cru,9.500000,Brouwerij de l’Abbaye desRocs
Abbaye des RocsSpéciale Noël,9.000000,Brouwerij de l’Abbaye desRocs
Abdis Blond,6.500000,Brouwerij Riva
Abdis Bruin,6.500000,Brouwerij Riva
Abdis Tripel,8.200000,Brouwerij Riva
Abdij van ‘t Park Blond,6.000000,Haacht
Abdij van ‘t Park Bruin,6.000000,Haacht
Abdij vanRoosenberg Dubbel,7.000000,Brouwerij Van Steenberge
Abdij vanRoosenberg Tripel,9.000000,Brouwerij Van Steenberge
Achel 5 Blond,5.000000,Achelse Kluis
Achel 5 Bruin,5.000000,Achelse Kluis
Achel 8 Blond,8.000000,Achelse Kluis
Achel 8 Bruin,8.000000,Achelse Kluis
Achel Blond Extra,9.500000,Achelse Kluis
Achel Bruin Extra,9.500000,Achelse Kluis
Adelardus,7.000000,Brouwerij Sint-Jozef voorBrouwerij Kerkom
Adelardus Tripel,9.000000,Brouwerij Sint-Jozef voorBrouwerij Kerkom
Adler,6.500000,Brouwerij Haacht
Adriaen Brouwer,5.000000,Brouwerij Roman
Adriaen BrouwerDark Gold,8.500000,Brouwerij Roman
AffligemBlond,6.800000,Affligem Brouwerij (Heineken)
Affligem Dubbel,6.800000,Affligem Brouwerij (Heineken)
Affligem 950Cuvee,6.800000,Affligem Brouwerij (Heineken)
Affligem Noël,9.000000,Affligem Brouwerij (Heineken)
AffligemPatersvat,6.800000,Affligem Brouwerij (Heineken)
Affligem Tripel,8.500000,Affligem Brouwerij (Heineken)
Agrumbocq,3.100000,Brouwerij du Bocq
Alpaïde,10.000000,Brouwerij Nieuwhuys
Alpaïde Cuvéevan de generaal,8.500000,Brouwerij Nieuwhuys
Akila Pils,5.000000,Brouwerij Louwaege
Alfri,0.500000,Brouwerij Roman
Altitude 6,6.000000,Brouwerij de l’Abbaye desRocs
Alvinne ExtraRestyled,7.000000,Brouwerij Alvinne
Alvinne Lex’ke,6.300000,Brouwerij Alvinne
Alvinne Tripel,8.700000,Brouwerij Alvinne
Alvino BourgogneBarrel OA,5.500000,Brouwerij Alvinne
Ambetanterik,8.700000,Brouwerij Het Alternatiefbij Brouwerij Alvinne
Ambiorix,8.000000,Brouwerij Slaghmuylder
Amuse,6.500000,Brouwerij Bryggja
Angélus Blonde,7.000000,Brouwerij Brootcoorens
Angélus Brune,7.000000,Brouwerij Brootcoorens
Angélus SpécialeNoël,9.000000,Brouwerij Brootcoorens
Anker Blond,6.500000,Brouwerij Het Anker
Anker Boscoulis,6.500000,Brouwerij Het Anker
Anker Herfstbok,6.500000,Brouwerij Het Anker
Anker Pils,5.000000,Brouwerij Het Anker
Antiek Blond,8.000000,Brouwerij Deca
Antiek Bruin,8.000000,Brouwerij Deca
Antiek Super 5Blond,5.000000,Brouwerij Deca
Antigoon,7.000000,The Musketeers
Antwerps Blond,5.000000,HuisBrouwerij ‘t Pakhuis
Antwerps Bruin,5.800000,HuisBrouwerij ‘t Pakhuis
Applebocq,3.100000,Brouwerij Du Bocq
Arabier,8.000000,De Dolle Brouwers
Archiduc,6.200000,Brouwerij d’Ecaussinnes
Arend Blond,6.500000,Brouwerij De Ryck
Arend Dubbel,6.500000,Brouwerij De Ryck
Arend Tripel,8.000000,Brouwerij De Ryck
Arend Winter,6.300000,Brouwerij De Ryck
Arendonker Bruin,8.500000,DorpsBrouwerij Humulus
Arendonker Tripel,8.000000,DorpsBrouwerij Humulus
Armand’4 Herfst,6.000000,Geuzestekerij 3 Fonteinen
Armand’4 Lente,6.000000,Geuzestekerij 3 Fonteinen
Armand’4 Winter,6.000000,Geuzestekerij 3 Fonteinen
Armand’4 Zomer,6.000000,Geuzestekerij 3 Fonteinen
Artevelde,5.700000,Brouwerij Huyghe
Artevelde GrandCru,7.200000,Brouwerij Huyghe
Asterie,NaN,Brouwerij d’Ecaussinnes
Atomium PremierGrand Cru,8.000000,Brouwerij Van Steenberge
Augrenette,4.500000,Brouwerij Augrenoise
Augrenoise,6.500000,Brouwerij Augrenoise
AugrenoiseBlonde de Noël,10.000000,Brouwerij Augrenoise
Augustijn Blond,7.500000,Brouwerij Van Steenberge
Augustijn Donker,7.000000,Brouwerij Van Steenberge
Augustijn GrandCru,9.000000,Brouwerij Van Steenberge
Authentic 621,7.500000,Authentique Brouwerij
Authentic Ambrée,5.000000,Authentique Brouwerij
Authentic Blonde,6.500000,Authentique Brouwerij
Authentic Blondede Noël,9.000000,Authentique Brouwerij
Authentic Triple,9.500000,Authentique Brouwerij
L’Autruche Bieredes Gilles,7.000000,Brouwerij de Silenrieux
Aux Mensonges Vertueux,8.000000,Brouwerij Beryllium Erbium
Bacchus,4.500000,Brouwerij Van Honsebrouck
BacchusFrambozenbier,5.000000,Brouwerij Van Honsebrouck
BacchusKriekenbier,5.800000,Brouwerij Van Honsebrouck
Balthazar,8.900000,Brouwerij Alvinne
Barbãr,8.000000,Brouwerij Lefebvre
Barbãr Winter Bok,8.000000,Brouwerij Lefebvre
Barbe d’Or(Goudbaard),7.500000,Brouwerij Verhaeghe
Barbe Noire(Zwartbaard),9.000000,Brouwerij Verhaeghe
Barbe Rouge(Roodbaard),8.000000,Brouwerij Verhaeghe
Bas,6.500000,De ProefBrouwerij voor bierfirmaBas-bieren
Bastogne Pale Ale,6.500000,Brouwerij de Bastogne
Basèque,8.500000,Brasserie des carrières
Basilius,7.000000,De ProefBrouwerij voor ’t BrugsBierinstituut
Bobeline Black Label,8.500000,Didier Dumalin
Bobeline Blanche Fraise,3.600000,Didier Dumalin
Bobeline Blonde,8.500000,Didier Dumalin
BoudeloBlond Tripel,8.500000,Brouwerij Boelens
BoudeloDouble,8.500000,Brouwerij Boelens
Bavaro,3.600000,Brouwerij Haacht
